ID_venda,cpf,ID_produto,quantidade,preco unitario,preco total
2,06894222967,1,1,0,0
2,06894222967,1,1,0,0
2,06894222967,1,2,1.25,2.5
2,06894222967,1,1,1.25,1.25
3,06894222967,1,2,1.25,2.5
4,06894222967,6,5,1.5,7.5
4,06894222967,2,5,1.3,6.5
5,06894222967,2,20,1.30,26.0
6,55555555555,7,30,8.00,240.0
7,11111111111,1,2,8.00,16.0
7,11111111111,2,258,8.00,16.0
7,11111111111,2,25,35.00,875.0
8,06894222967,1,1,8.00,8.0
8,06894222967,2,1,35.00,35.0
9,06894222967,1,2,8.00,16.0
10,06894222967,2,1,35.00,35.0
11,06894222967,1,1,8.00,8.00
12,06894222967,2,1,35.00,35.00
14,06894222967,2,1,35.00,35.00
16,06894222967,4,2,3.25,6.50
