ID,cpf,data da compra,valor total da compra,quantidade de produtos
1,06894222967,"['08', '04', '2024']",2.5,1
2,06894222967,"['08', '04', '2024']",1.25,1
3,06894222967,"['08', '04', '2024']",1.25,1
4,06894222967,"['08', '04', '2024']",6.5,2
5,06894222967,"['14', '04', '2004']",26.00,1
6,55555555555,"['08', '04', '2024']",240.00,1
7,11111111111,"['09', '04', '2024']",875.00,3
8,06894222967,"['09', '04', '2024']",35.00,2
9,06894222967,"['09', '04', '2024']",16.00,1
10,06894222967,"['09', '04', '2024']",35.00,1
11,06894222967,"['09', '04', '2024']",8.00,1
12,06894222967,"['09', '04', '2024']",35.00,1
14,06894222967,"['09', '04', '2024']",35.00,1
16,06894222967,"['09', '04', '2024']",6.50,1
